phrasal,meaning_en,examples,tags,sense_uid,separable,intransitive
act on,to take action based on advice or info,"[""We acted on the feedback."",""The police acted on a tip.""]","[""work"",""daily""]",act_on__action,false,false
act out,to perform or express,"[""The kids acted out a play."",""He acted out his frustration.""]","[""daily""]",act_out__perform,false,false
act up,to behave badly or fail,"[""The server acted up again."",""The child acted up at school.""]","[""IT"",""daily""]",act_up__fail,false,false
add up,to make sense,"[""Her story doesn’t add up."",""The numbers finally add up.""]","[""work"",""daily""]",add_up__makesense,false,true
allow for,to consider or include,"[""The plan allows for delays."",""You must allow for differences.""]","[""work"",""projects""]",allow_for__consider,false,false
answer back,to reply rudely,"[""The student answered back."",""He answered back at his boss.""]","[""work"",""daily""]",answer_back__rude,false,false
ask around,to ask many people,"[""I asked around about the issue."",""She asked around for recommendations.""]","[""work"",""daily""]",ask_around__inquire,false,true
ask out,to invite on a date,"[""He asked her out to dinner."",""She was asked out by a colleague.""]","[""daily""]",ask_out__invite,true,false
back down,to withdraw a claim,"[""He backed down after the argument."",""They backed down under pressure.""]","[""work"",""daily""]",back_down__withdraw,false,false
back off,to retreat,"[""The dog backed off."",""He backed off when challenged.""]","[""daily""]",back_off__retreat,false,false
back out,to withdraw from something,"[""He backed out of the deal."", ""We backed out of the deployment.""]","[""IT"", ""work""]",back_out__withdraw,false,false
back out of,to withdraw,"[""He backed out of the deal."",""She backed out of the contract.""]","[""work"",""projects""]",back_out_of__withdraw,false,false
back up,to make a copy for security,"[""Don't forget to back up the database."", ""We backed up all the files.""]","[""IT"", ""work""]",back_up__copy,true,false
bail out,to help in difficulty,"[""The bank was bailed out."",""He bailed out his friend.""]","[""work"",""finance""]",bail_out__help,false,false
bear down on,to press hard,"[""She bore down on her studies."",""The law bore down on crime.""]","[""work"",""daily""]",bear_down_on__press,false,false
bear out,to confirm,"[""The data bore out his theory."",""Evidence bore out the claim.""]","[""work"",""projects""]",bear_out__confirm,true,false
bear with,to be patient,"[""Please bear with me for a moment."",""She bore with the delay.""]","[""work"",""daily""]",bear_with__patience,false,false
blow out,to extinguish,"[""He blew out the candles."",""The tire blew out suddenly.""]","[""daily""]",blow_out__extinguish,true,false
blow over,to pass without serious effect,"[""The scandal blew over quickly."",""The storm blew over.""]","[""work"",""daily""]",blow_over__pass,false,false
blow up,to explode or become angry,"[""The bomb blew up."",""He blew up at the mistake.""]","[""work"",""daily""]",blow_up__explode,false,false
blow up at,to lose temper,"[""He blew up at his colleague."",""She blew up at the mistake.""]","[""work"",""daily""]",blow_up_at__anger,false,false
boil down to,to be the main point,"[""It boils down to lack of time."",""The issue boils down to money.""]","[""work"",""projects""]",boil_down_to__main,false,false
boot up,to start a computer,"[""Boot up the system."",""The PC booted up slowly.""]","[""IT""]",boot_up__start,false,false
branch out,to expand,"[""The company branched out into AI."",""She branched out into new hobbies.""]","[""work"",""career""]",branch_out__expand,false,false
break down,to fail or analyze,"[""The car broke down."", ""We broke down the problem into steps.""]","[""IT"", ""daily""]",break_down__fail,false,false
break down into,to divide,"[""We broke down the task into steps."",""The report breaks down into sections.""]","[""work"",""projects""]",break_down_into__divide,false,false
break in,to interrupt or train,"[""He broke in during the call."",""They broke in new employees.""]","[""work"",""meetings""]",break_in__interrupt_train,false,false
break in on,to interrupt,"[""He broke in on the meeting."",""She broke in on the call.""]","[""work"",""meetings""]",break_in_on__interrupt,false,false
break into,to enter by force or start suddenly,"[""Hackers broke into the system."",""He broke into the conversation.""]","[""IT"",""meetings""]",break_into__enter,false,false
break off,to end abruptly,"[""They broke off negotiations."",""He broke off the meeting.""]","[""work"",""meetings""]",break_off__end,true,false
break off from,to separate,"[""He broke off from the group."",""The company broke off from the merger.""]","[""work"",""projects""]",break_off_from__separate,false,false
break out,to start suddenly,"[""A fire broke out."",""War broke out in the region.""]","[""daily""]",break_out__start,false,false
break out of,to escape,"[""He broke out of prison."",""She broke out of the habit.""]","[""daily""]",break_out_of__escape,false,false
break through,to overcome,"[""We broke through the barrier."",""She broke through with a new idea.""]","[""work"",""projects""]",break_through__overcome,false,false
break up,to separate or end,"[""The meeting broke up late."",""They broke up last year.""]","[""work"",""daily""]",break_up__end,false,false
break up with,to end relationship,"[""She broke up with her boyfriend."",""He broke up with her last year.""]","[""daily""]",break_up_with__end,false,false
bring about,to cause,"[""The new update brought about big changes."",""His actions brought about improvements.""]","[""work"",""projects""]",bring_about__cause,true,false
