title,pageid,url,category_path
ab off,6834281,https://en.wiktionary.org/wiki/ab_off,Category:English phrasal verbs
abate of,3721574,https://en.wiktionary.org/wiki/abate_of,Category:English phrasal verbs
abide by,91744,https://en.wiktionary.org/wiki/abide_by,Category:English phrasal verbs
absorb oneself in,5091725,https://en.wiktionary.org/wiki/absorb_oneself_in,Category:English phrasal verbs
abstract away from,10238405,https://en.wiktionary.org/wiki/abstract_away_from,Category:English phrasal verbs
abut on,2873,https://en.wiktionary.org/wiki/abut_on,Category:English phrasal verbs
account for,788229,https://en.wiktionary.org/wiki/account_for,Category:English phrasal verbs
account of,1744870,https://en.wiktionary.org/wiki/account_of,Category:English phrasal verbs
account to,1744907,https://en.wiktionary.org/wiki/account_to,Category:English phrasal verbs
accredit with,2700488,https://en.wiktionary.org/wiki/accredit_with,Category:English phrasal verbs
ace into,5091727,https://en.wiktionary.org/wiki/ace_into,Category:English phrasal verbs
ace out,5091729,https://en.wiktionary.org/wiki/ace_out,Category:English phrasal verbs
ache for,1452828,https://en.wiktionary.org/wiki/ache_for,Category:English phrasal verbs
act on,788408,https://en.wiktionary.org/wiki/act_on,Category:English phrasal verbs
act out,476617,https://en.wiktionary.org/wiki/act_out,Category:English phrasal verbs
act up,87516,https://en.wiktionary.org/wiki/act_up,Category:English phrasal verbs
act upon,788439,https://en.wiktionary.org/wiki/act_upon,Category:English phrasal verbs
add on,788444,https://en.wiktionary.org/wiki/add_on,Category:English phrasal verbs
add up,257692,https://en.wiktionary.org/wiki/add_up,Category:English phrasal verbs
add up to,1455557,https://en.wiktionary.org/wiki/add_up_to,Category:English phrasal verbs
adopt out,1310389,https://en.wiktionary.org/wiki/adopt_out,Category:English phrasal verbs
age out,5091964,https://en.wiktionary.org/wiki/age_out,Category:English phrasal verbs
age up,7970862,https://en.wiktionary.org/wiki/age_up,Category:English phrasal verbs
agree with,5091506,https://en.wiktionary.org/wiki/agree_with,Category:English phrasal verbs
aim at,1455588,https://en.wiktionary.org/wiki/aim_at,Category:English phrasal verbs
air off,10251834,https://en.wiktionary.org/wiki/air_off,Category:English phrasal verbs
air out,318200,https://en.wiktionary.org/wiki/air_out,Category:English phrasal verbs
air up,9347920,https://en.wiktionary.org/wiki/air_up,Category:English phrasal verbs
allot upon,10231898,https://en.wiktionary.org/wiki/allot_upon,Category:English phrasal verbs
allow for,1458528,https://en.wiktionary.org/wiki/allow_for,Category:English phrasal verbs
alpha up,9289715,https://en.wiktionary.org/wiki/alpha_up,Category:English phrasal verbs
ammo up,10268080,https://en.wiktionary.org/wiki/ammo_up,Category:English phrasal verbs
amp down,10264474,https://en.wiktionary.org/wiki/amp_down,Category:English phrasal verbs
amp up,7322849,https://en.wiktionary.org/wiki/amp_up,Category:English phrasal verbs
angle for,1458542,https://en.wiktionary.org/wiki/angle_for,Category:English phrasal verbs
answer back,288110,https://en.wiktionary.org/wiki/answer_back,Category:English phrasal verbs
answer for,870269,https://en.wiktionary.org/wiki/answer_for,Category:English phrasal verbs
answer to,1744910,https://en.wiktionary.org/wiki/answer_to,Category:English phrasal verbs
answer up,5705868,https://en.wiktionary.org/wiki/answer_up,Category:English phrasal verbs
ante in,1988166,https://en.wiktionary.org/wiki/ante_in,Category:English phrasal verbs
ante up,509489,https://en.wiktionary.org/wiki/ante_up,Category:English phrasal verbs
apple up,10239953,https://en.wiktionary.org/wiki/apple_up,Category:English phrasal verbs
arc up,5086677,https://en.wiktionary.org/wiki/arc_up,Category:English phrasal verbs
argue down,5091510,https://en.wiktionary.org/wiki/argue_down,Category:English phrasal verbs
argue out,1472181,https://en.wiktionary.org/wiki/argue_out,Category:English phrasal verbs
arm out,10260032,https://en.wiktionary.org/wiki/arm_out,Category:English phrasal verbs
arm up,1988167,https://en.wiktionary.org/wiki/arm_up,Category:English phrasal verbs
arrive at,725363,https://en.wiktionary.org/wiki/arrive_at,Category:English phrasal verbs
arse about,182133,https://en.wiktionary.org/wiki/arse_about,Category:English phrasal verbs
arse around,1722612,https://en.wiktionary.org/wiki/arse_around,Category:English phrasal verbs
arse up,10133921,https://en.wiktionary.org/wiki/arse_up,Category:English phrasal verbs
art up,10253514,https://en.wiktionary.org/wiki/art_up,Category:English phrasal verbs
ask after,1026183,https://en.wiktionary.org/wiki/ask_after,Category:English phrasal verbs
ask around,1329469,https://en.wiktionary.org/wiki/ask_around,Category:English phrasal verbs
ask back,9639747,https://en.wiktionary.org/wiki/ask_back,Category:English phrasal verbs
ask for,205526,https://en.wiktionary.org/wiki/ask_for,Category:English phrasal verbs
ask for it,95147,https://en.wiktionary.org/wiki/ask_for_it,Category:English phrasal verbs
ask in,1478663,https://en.wiktionary.org/wiki/ask_in,Category:English phrasal verbs
ask out,227225,https://en.wiktionary.org/wiki/ask_out,Category:English phrasal verbs
ask over,7847700,https://en.wiktionary.org/wiki/ask_over,Category:English phrasal verbs
ask round,1490629,https://en.wiktionary.org/wiki/ask_round,Category:English phrasal verbs
ass out,9469691,https://en.wiktionary.org/wiki/ass_out,Category:English phrasal verbs
attend to,5085743,https://en.wiktionary.org/wiki/attend_to,Category:English phrasal verbs
auction off,1490638,https://en.wiktionary.org/wiki/auction_off,Category:English phrasal verbs
auger in,4426641,https://en.wiktionary.org/wiki/auger_in,Category:English phrasal verbs
average down,7849088,https://en.wiktionary.org/wiki/average_down,Category:English phrasal verbs
average out,2222409,https://en.wiktionary.org/wiki/average_out,Category:English phrasal verbs
average up,1988186,https://en.wiktionary.org/wiki/average_up,Category:English phrasal verbs
baby up,1988189,https://en.wiktionary.org/wiki/baby_up,Category:English phrasal verbs
back away,278953,https://en.wiktionary.org/wiki/back_away,Category:English phrasal verbs
back down,248742,https://en.wiktionary.org/wiki/back_down,Category:English phrasal verbs
back in,413129,https://en.wiktionary.org/wiki/back_in,Category:English phrasal verbs
back into,202742,https://en.wiktionary.org/wiki/back_into,Category:English phrasal verbs
back off,287000,https://en.wiktionary.org/wiki/back_off,Category:English phrasal verbs
back on to,287368,https://en.wiktionary.org/wiki/back_on_to,Category:English phrasal verbs
back one out,10276093,https://en.wiktionary.org/wiki/back_one_out,Category:English phrasal verbs
back onto,287370,https://en.wiktionary.org/wiki/back_onto,Category:English phrasal verbs
back out,88052,https://en.wiktionary.org/wiki/back_out,Category:English phrasal verbs
back up,71210,https://en.wiktionary.org/wiki/back_up,Category:English phrasal verbs
bad up,7266924,https://en.wiktionary.org/wiki/bad_up,Category:English phrasal verbs
badge in,9499183,https://en.wiktionary.org/wiki/badge_in,Category:English phrasal verbs
badge out,10251406,https://en.wiktionary.org/wiki/badge_out,Category:English phrasal verbs
badge up,10251369,https://en.wiktionary.org/wiki/badge_up,Category:English phrasal verbs
bag down,10234708,https://en.wiktionary.org/wiki/bag_down,Category:English phrasal verbs
bag off,10264492,https://en.wiktionary.org/wiki/bag_off,Category:English phrasal verbs
bag out,1811036,https://en.wiktionary.org/wiki/bag_out,Category:English phrasal verbs
bag up,6606915,https://en.wiktionary.org/wiki/bag_up,Category:English phrasal verbs
bail out,96548,https://en.wiktionary.org/wiki/bail_out,Category:English phrasal verbs
